호텔,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
고든램지 스트리트 피자 서울숲점,237,212,25,89.5,10.5
쎄콩데live,233,231,2,99.1,0.9
성수옥상,227,225,2,99.1,0.9
누데이크 성수점,195,178,17,91.3,8.7
크림라벨 서울숲 본점,182,176,6,96.7,3.3
캐주얼성수,168,167,1,99.4,0.6
테니,160,155,5,96.9,3.1
노이,154,149,5,96.8,3.2
테디스오븐,149,145,4,97.3,2.7
데우스 카페 성수점,140,137,3,97.9,2.1
신사소곱창 성수점,134,131,3,97.8,2.2
보마켓 서울숲점,132,126,6,95.5,4.5
보끔당 성수점,131,130,1,99.2,0.8
메종 파이프그라운드,127,123,4,96.9,3.1
모모야 성수점,124,121,3,97.6,2.4
퍼먼트,121,115,6,95.0,5.0
카멜커피 7호점,120,110,10,91.7,8.3
타이거풀,119,119,0,100.0,0.0
미도인 성수,118,114,4,96.6,3.4
두 투리에,116,115,1,99.1,0.9
권식족발 성수본점,112,111,1,99.1,0.9
고집132 성수본점,109,109,0,100.0,0.0
스케줄 성수,106,101,5,95.3,4.7
성수온실,103,101,2,98.1,1.9
성수옥아궁지 성수본점,103,102,1,99.0,1.0
마씨,103,103,0,100.0,0.0
쎈느Scene,101,97,4,96.0,4.0
연남토마 성수점,100,96,4,96.0,4.0
위드번,100,98,2,98.0,2.0
팔각도 성수역점,98,96,2,98.0,2.0
천하제일 솥뚜껑,98,95,3,96.9,3.1
투썸플레이스 성수skv타워점,97,93,4,95.9,4.1
투데이즈이너프,96,94,2,97.9,2.1
로우키,96,88,8,91.7,8.3
맘스터치 성수역점,96,87,9,90.6,9.4
로우커피스탠드,96,92,4,95.8,4.2
파머스카페,95,89,6,93.7,6.3
정돈 성수점,93,87,6,93.5,6.5
이오로비스트로,91,89,2,97.8,2.2
롯데리아 성수역점,88,77,11,87.5,12.5
올댓커피 포레스트점,87,85,2,97.7,2.3
라무라 성수,87,80,7,92.0,8.0
꽌코이,85,84,1,98.8,1.2
크리스탈드래곤 성수낙낙점,85,81,4,95.3,4.7
훼미리손칼국수보쌈,83,81,2,97.6,2.4
르프리크,83,82,1,98.8,1.2
잠수교집 성수 직영점,83,79,4,95.2,4.8
카카모루 성수점,82,82,0,100.0,0.0
훔볼트,81,77,4,95.1,4.9
까망,81,80,1,98.8,1.2
젠젠 성수점,81,78,3,96.3,3.7
문츠 바베큐,81,81,0,100.0,0.0
천상가옥,80,77,3,96.2,3.8
앤드밀 성수점,80,72,8,90.0,10.0
강남면옥 성수점,80,77,3,96.2,3.8
메가MGC커피 서울숲역점,80,74,6,92.5,7.5
누메로도스,79,74,5,93.7,6.3
만학,78,75,3,96.2,3.8
베티버 성수,78,77,1,98.7,1.3
세디치,78,77,1,98.7,1.3
망티커피 성수점,77,69,8,89.6,10.4
윤경양식당,75,72,3,96.0,4.0
후라토식당 성수점,75,73,2,97.3,2.7
써브웨이 성수역점,75,68,7,90.7,9.3
팜티진쌀국수,74,72,2,97.3,2.7
칼,73,70,3,95.9,4.1
벱,73,73,0,100.0,0.0
포어플랜,73,71,2,97.3,2.7
미쁘동 서울숲,72,65,7,90.3,9.7
꿉당 성수점,72,66,6,91.7,8.3
메가MGC커피 성수일로점,71,63,8,88.7,11.3
오프트,71,70,1,98.6,1.4
노모어피자 서울숲점,70,64,6,91.4,8.6
대성갈비,70,68,2,97.1,2.9
기러기둥지 성수,69,61,8,88.4,11.6
뚝 다이닝,68,65,3,95.6,4.4
서울바나나,68,61,7,89.7,10.3
스윗바이브,67,65,2,97.0,3.0
쿠나,67,65,2,97.0,3.0
성수노루,66,63,3,95.5,4.5
"밤의, 와인테라스&낮의, 피자테라스",66,66,0,100.0,0.0
노가리마켓 서울숲,66,55,11,83.3,16.7
엘더버거,66,63,3,95.5,4.5
소인수서울 본점,65,60,5,92.3,7.7
홍콩반점0410 성수역점,65,65,0,100.0,0.0
할머니의 레시피,65,63,2,96.9,3.1
더블해피니스 성수,64,63,1,98.4,1.6
성수이루다,64,64,0,100.0,0.0
아카이브 서울,64,64,0,100.0,0.0
빠오즈푸 서울숲직영점,64,59,5,92.2,7.8
포도젝트,63,63,0,100.0,0.0
하프커피 성수,63,58,5,92.1,7.9
바이레인,62,61,1,98.4,1.6
포배럴카페,62,59,3,95.2,4.8
도도한면 성수본점,62,61,1,98.4,1.6
화화담 성수,61,57,4,93.4,6.6
춘배버거,61,58,3,95.1,4.9
오레노카츠 성수본점,61,56,5,91.8,8.2
일일향 성수10호점,61,55,6,90.2,9.8
잇샐러드 성수점,61,60,1,98.4,1.6
산들김밥,60,57,3,95.0,5.0
갓잇 성수 홀리워터점,60,60,0,100.0,0.0
헤비스테이크 성수점,59,56,3,94.9,5.1
해밀칼국수&김밥,59,56,3,94.9,5.1
호랑이 초밥,59,59,0,100.0,0.0
오늘애김밥 성수역점,58,54,4,93.1,6.9
오늘와인한잔 성수가든점,58,54,4,93.1,6.9
신라다랑원 성수점,58,58,0,100.0,0.0
티룸,58,55,3,94.8,5.2
중화카츠 서울숲,57,56,1,98.2,1.8
브라운래빗 서울숲점,57,55,2,96.5,3.5
밥밥디라라 뚝섬역점,57,56,1,98.2,1.8
정선부뚜막,57,53,4,93.0,7.0
카멜커피 성수점,57,51,6,89.5,10.5
체다앤올리,57,57,0,100.0,0.0
서울숲누룽지통닭구이,56,53,3,94.6,5.4
칙피스 성수점,56,53,3,94.6,5.4
가조쿠,56,54,2,96.4,3.6
강호연파 성수 숲속산장점,56,49,7,87.5,12.5
동빙고 성수점,55,50,5,90.9,9.1
평이담백뼈칼국수 성수점,55,54,1,98.2,1.8
다운타우너 성수 피치스,55,55,0,100.0,0.0
오우드 성수1호점,55,51,4,92.7,7.3
르셀,55,53,2,96.4,3.6
밸런스포케 서울숲점,55,54,1,98.2,1.8
부우이,55,52,3,94.5,5.5
목금,54,54,0,100.0,0.0
강남교자 뚝섬역점,54,53,1,98.1,1.9
마크69,54,43,11,79.6,20.4
카린지_린가네 스낵바,54,54,0,100.0,0.0
성수정원,53,53,0,100.0,0.0
니드스윗,53,52,1,98.1,1.9
더반 베를린 성수점,53,50,3,94.3,5.7
프롤라,53,52,1,98.1,1.9
마리오네,52,49,3,94.2,5.8
달래해장 성수점,52,48,4,92.3,7.7
발렁스,52,50,2,96.2,3.8
효자동목고기,52,52,0,100.0,0.0
도렐 성수점,52,46,6,88.5,11.5
쿠키샾,52,48,4,92.3,7.7
탕화쿵푸마라탕 성수동지점,51,48,3,94.1,5.9
에이투비 Cafe&Bar,51,47,4,92.2,7.8
성수삐딱,51,45,6,88.2,11.8
어묵나라,51,48,3,94.1,5.9
신사동 벼락집,51,51,0,100.0,0.0
201호,51,49,2,96.1,3.9
페이퍼 플레이트,51,50,1,98.0,2.0
멘야코노하 성수,50,50,0,100.0,0.0
스시메이 성수점,50,50,0,100.0,0.0
오우도,50,49,1,98.0,2.0
stdo,50,47,3,94.0,6.0
소년식당,49,43,6,87.8,12.2
사람사는 고깃집 김일도 성수점,49,46,3,93.9,6.1
무브모브 성수,49,47,2,95.9,4.1
감도 성수점,49,45,4,91.8,8.2
제제,49,45,4,91.8,8.2
훈연,49,47,2,95.9,4.1
버섯집,48,44,4,91.7,8.3
금금 성수점,48,47,1,97.9,2.1
오스테리아 파로,48,48,0,100.0,0.0
마하차이 서울숲점,48,41,7,85.4,14.6
파르코,48,43,5,89.6,10.4
뚝도농원,48,38,10,79.2,20.8
슈퍼말차 성수,48,46,2,95.8,4.2
예빈당,47,46,1,97.9,2.1
도치피자 성수,47,47,0,100.0,0.0
루디먼트,47,47,0,100.0,0.0
계월 곰탕,47,45,2,95.7,4.3
nothingmatters,46,45,1,97.8,2.2
왕삼겹정육식당,46,45,1,97.8,2.2
라에비뉴,46,44,2,95.7,4.3
HBC coffee,46,44,2,95.7,4.3
다포케 성수점,45,42,3,93.3,6.7
BNHR,45,43,2,95.6,4.4
모센즈스위트 성수점,45,43,2,95.6,4.4
무식당 성수본점,45,43,2,95.6,4.4
오와리 본점,45,45,0,100.0,0.0
미엘릿,45,41,4,91.1,8.9
캐스터네츠 서울숲점,45,45,0,100.0,0.0
기후,45,43,2,95.6,4.4
스시오오모토,45,44,1,97.8,2.2
리얼월드 성수,45,41,4,91.1,8.9
성수피글렛,44,43,1,97.7,2.3
컴오프,44,42,2,95.5,4.5
디플랫 성수,44,40,4,90.9,9.1
필살기CAFE,44,44,0,100.0,0.0
공차 성수역점,44,44,0,100.0,0.0
홍화돈,43,41,2,95.3,4.7
시옹마오,43,43,0,100.0,0.0
매머드익스프레스 성수역점,43,43,0,100.0,0.0
남다른본가닭한마리 성수점,43,40,3,93.0,7.0
레이더,43,38,5,88.4,11.6
미아논나,42,38,4,90.5,9.5
HDD피자,42,39,3,92.9,7.1
엘레멘츠,42,42,0,100.0,0.0
써브웨이 서울숲점,42,35,7,83.3,16.7
공차 서울숲점,42,40,2,95.2,4.8
고운 돈카츠,42,42,0,100.0,0.0
등촌샤브칼국수 성수점,41,40,1,97.6,2.4
빽다방 화양사거리점,41,41,0,100.0,0.0
청정옥,41,40,1,97.6,2.4
아울림,41,41,0,100.0,0.0
유가츠,41,41,0,100.0,0.0
춘하추우동,41,41,0,100.0,0.0
에피타이트,41,40,1,97.6,2.4
미디엄스톤 성수점,41,40,1,97.6,2.4
까치화방 성수낙낙점,41,40,1,97.6,2.4
오토김밥 서울숲점,41,39,2,95.1,4.9
청키드 성수점,41,40,1,97.6,2.4
강다짐 삼각김밥 성수점,40,38,2,95.0,5.0
매머드익스프레스 뚝섬역점,40,36,4,90.0,10.0
구욱희씨 서울숲점,40,35,5,87.5,12.5
본노엘 성수점,40,36,4,90.0,10.0
"여기 런던 Here, london",40,40,0,100.0,0.0
24시전주명가콩나물국밥 서울성수점,40,37,3,92.5,7.5
카페&펍 연무장,40,37,3,92.5,7.5
희릿,40,39,1,97.5,2.5
지우관,40,39,1,97.5,2.5
반포식스 성수점,40,37,3,92.5,7.5
퀴버 서울숲,40,35,5,87.5,12.5
bd버거 성수,40,38,2,95.0,5.0
비스트로성수,40,39,1,97.5,2.5
글로우,40,35,5,87.5,12.5
업사이드커피,39,35,4,89.7,10.3
계모임,39,39,0,100.0,0.0
성수면당,39,38,1,97.4,2.6
힘이나는커피생활 성수2호점,39,38,1,97.4,2.6
럭럭카페,39,39,0,100.0,0.0
피키니키 라자냐,39,38,1,97.4,2.6
청담순대국,39,39,0,100.0,0.0
피자시즌,39,39,0,100.0,0.0
빽다방 성수역롯데캐슬점,39,37,2,94.9,5.1
굿갓레스토랑 성수역점,38,38,0,100.0,0.0
하이라인,38,37,1,97.4,2.6
스텀필즈커피,38,34,4,89.5,10.5
원기옥,38,36,2,94.7,5.3
어묵나라 뚝섬점,38,36,2,94.7,5.3
구아바,37,34,3,91.9,8.1
빽다방 성수뚝도점,37,35,2,94.6,5.4
봉쥬르,37,35,2,94.6,5.4
컴포즈커피 화양사거리점,37,35,2,94.6,5.4
소바마에,37,36,1,97.3,2.7
바르다김선생 서울숲점,37,23,14,62.2,37.8
롸카두들 내쉬빌 핫치킨 성수점,37,34,3,91.9,8.1
성수우동,37,37,0,100.0,0.0
뚜레쥬르 성수역점,37,36,1,97.3,2.7
퍼응언쌀국수,36,36,0,100.0,0.0
짬뽕위에더짬뽕,36,33,3,91.7,8.3
오와리 뚝섬점,36,35,1,97.2,2.8
패티앤베지스 성수,36,36,0,100.0,0.0
비파서울,36,34,2,94.4,5.6
벨라스가든 서울숲점,36,34,2,94.4,5.6
멘야마쯔리 성수점,36,34,2,94.4,5.6
포동푸딩,36,35,1,97.2,2.8
하오마라,36,35,1,97.2,2.8
육품,36,36,0,100.0,0.0
단일서울,36,36,0,100.0,0.0
다로베,36,35,1,97.2,2.8
백정돈공장,36,35,1,97.2,2.8
담미온 성수점,35,32,3,91.4,8.6
성수김밥 퍼니텅,35,34,1,97.1,2.9
타크,35,35,0,100.0,0.0
어메이징브루잉컴퍼니,35,35,0,100.0,0.0
동대문엽기떡볶이 성수점,35,34,1,97.1,2.9
누메로뜨레쓰,35,34,1,97.1,2.9
샐러디 성수점,35,33,2,94.3,5.7
북촌손만두 성수역점,35,34,1,97.1,2.9
세밀,35,35,0,100.0,0.0
어퍼룸,35,35,0,100.0,0.0
마하차이 성수본점,35,34,1,97.1,2.9
어라운드데이,35,35,0,100.0,0.0
성일식당아들네,34,34,0,100.0,0.0
버거보이 성수낙낙점,34,33,1,97.1,2.9
빽다방 뚝섬역점,34,33,1,97.1,2.9
도죠,34,33,1,97.1,2.9
피자니스타 서울숲점,34,33,1,97.1,2.9
버니타운,34,34,0,100.0,0.0
성수닭발,34,31,3,91.2,8.8
한음,34,32,2,94.1,5.9
하노이102,34,33,1,97.1,2.9
푸르너스가든 서울숲,33,32,1,97.0,3.0
탐앤탐스 성수1호점,33,32,1,97.0,3.0
하늘분식,33,33,0,100.0,0.0
타논55,33,30,3,90.9,9.1
시즈니,33,32,1,97.0,3.0
긴밤,33,33,0,100.0,0.0
대낚식당,33,30,3,90.9,9.1
누에종,33,32,1,97.0,3.0
파티세리 아모니,33,33,0,100.0,0.0
비스트리오,33,33,0,100.0,0.0
더카페 서울숲역점,33,31,2,93.9,6.1
신선식탁 성수역점,33,33,0,100.0,0.0
포맨스,33,32,1,97.0,3.0
힘이나는커피생활 성수3호점,32,31,1,96.9,3.1
업사이드커피 뚝섬점,32,30,2,93.8,6.2
성수맥주,32,30,2,93.8,6.2
구펠,32,31,1,96.9,3.1
FINZ 핀즈,32,31,1,96.9,3.1
타코마이너,32,32,0,100.0,0.0
차이나플레인 서울숲점,32,30,2,93.8,6.2
어피스앤드피스,32,31,1,96.9,3.1
